country,year,net_sales
Austria,2021,14315028.94000006
Austria,2022,14405299.889999986
Austria,2023,14299697.13999999
France,2021,14214656.370000074
France,2022,14191695.29000009
France,2023,14195260.910000088
Germany,2021,29483270.33000017
Germany,2022,29547618.589999657
Germany,2023,29494670.090000097
Italy,2021,45707221.07000018
Italy,2022,45740085.59000037
Italy,2023,45745769.46000017
Netherlands,2021,4168551.100000025
Netherlands,2022,4168127.160000036
Netherlands,2023,4179471.340000017
Poland,2021,14111652.690000027
Poland,2022,14160417.170000035
Poland,2023,14113192.659999881
Spain,2021,35559805.64000029
Spain,2022,35602947.91000024
Spain,2023,35542013.48999991
