year,month,net_sales
2021,1,13146751.830000082
2021,2,11837396.870000027
2021,3,12740242.559999969
2021,4,12385409.979999924
2021,5,12915862.11000004
2021,6,13540282.619999941
2021,7,14119906.33000006
2021,8,14169765.050000034
2021,9,12414988.059999947
2021,10,12924691.929999936
2021,11,13355833.309999887
2021,12,14009055.490000047
2022,1,13201377.829999967
2022,2,11810170.399999905
2022,3,12808300.490000008
2022,4,12549541.659999982
2022,5,12898781.450000007
2022,6,13581362.549999945
2022,7,14204857.330000008
2022,8,13963072.249999935
2022,9,12430028.29
2022,10,12902281.18999992
2022,11,13305071.710000074
2022,12,14161346.449999984
2023,1,13004838.889999887
2023,2,11817070.109999979
2023,3,12778428.35000004
2023,4,12487103.369999979
2023,5,12716890.180000013
2023,6,13576484.749999957
2023,7,14159587.520000048
2023,8,14094307.209999975
2023,9,12443037.249999966
2023,10,12866992.34000009
2023,11,13417515.869999973
2023,12,14207819.249999987
