country,sku_id,sku_name,category,total_net_sales,average_margin_pct
Italy,SKU0064,"BrandD Cheese",Dairy,4516984.499999988,0.40327831050228147
Spain,SKU0027,"BrandC Chips",Snacks,4490597.369999999,0.36241674277016633
Italy,SKU0018,"BrandF Water",Beverages,4366570.56,0.40129284627092743
Spain,SKU0018,"BrandF Water",Beverages,4158905.519999994,0.4020770167427695
Italy,SKU0028,"BrandD Chips",Snacks,3757276.300000002,0.4002164383561641
Italy,SKU0097,"BrandA Toothpaste","Personal Care",3744669.0100000007,0.4018732876712328
Italy,SKU0026,"BrandB Chips",Snacks,3702950.929999998,0.40027732115677356
Germany,SKU0027,"BrandC Chips",Snacks,3674382.209999998,0.3664474885844748
Italy,SKU0061,"BrandA Cheese",Dairy,3620258.9999999967,0.40249832572298144
Italy,SKU0058,"BrandD Milk",Dairy,3603783.7500000093,0.400378995433789
Italy,SKU0092,"BrandB Soap","Personal Care",3595710.150000005,0.40055799086758
Italy,SKU0005,"BrandE Soda",Beverages,3517019.619999991,0.3635401826484017
Italy,SKU0100,"BrandD Toothpaste","Personal Care",3465661.3200000003,0.3968672754946735
Germany,SKU0018,"BrandF Water",Beverages,3420040.799999994,0.39983744292237355
Spain,SKU0061,"BrandA Cheese",Dairy,3416361.899999998,0.4011774733637739
Spain,SKU0099,"BrandC Toothpaste","Personal Care",3409879.3599999947,0.36192633181126266
Italy,SKU0099,"BrandC Toothpaste","Personal Care",3210460.8800000013,0.3618429223744293
Italy,SKU0027,"BrandC Chips",Snacks,3157205.259999992,0.3629840182648391
Germany,SKU0092,"BrandB Soap","Personal Care",3113277.2999999966,0.40084885844748885
Italy,SKU0001,"BrandA Soda",Beverages,3094047.460000006,0.3614589041095897
