sku_id,sku_name,average_units_sold,total_units_sold,demand_stddev
SKU0017,"BrandE Water",126.1503,1243211,70.83784617138775
SKU0001,"BrandA Soda",125.9137,1792381,68.85517290763042
SKU0006,"BrandF Soda",126.4973,1662175,68.80039119453876
SKU0034,"BrandD Chocolate",108.6818,1190066,62.73088821617289
SKU0013,"BrandA Water",103.5852,1134258,56.59566435730318
SKU0027,"BrandC Chips",109.6710,1200897,56.57782409606957
SKU0005,"BrandE Soda",100.1370,1096500,54.524445123556994
SKU0102,"BrandF Toothpaste",104.3984,1028846,54.342753452207965
SKU0099,"BrandC Toothpaste",103.1456,1242389,54.01201423895533
SKU0035,"BrandE Chocolate",120.8555,1455704,53.85650364569763
SKU0023,"BrandE Energy drink",91.7401,1004554,49.05357084634162
SKU0046,"BrandD Nuts",91.8086,1105834,45.71902430967816
SKU0079,"BrandA Cleaner",92.4489,607389,45.58858657872962
SKU0054,"BrandF Yogurt",94.4814,931114,45.55632363747036
SKU0022,"BrandD Energy drink",103.7795,1022747,45.111991945682576
SKU0080,"BrandB Cleaner",86.3591,756506,44.42336298791419
SKU0004,"BrandD Soda",100.3605,1098948,43.176118628138326
SKU0041,"BrandE Biscuits",81.1142,888200,42.85767175126715
SKU0069,"BrandC Detergent",85.8908,658353,42.30287094232371
SKU0018,"BrandF Water",97.3875,1173032,40.95452094666175
