sku_id,sku_name,category,total_net_sales,average_margin_pct
SKU0027,"BrandC Chips",Snacks,16000295.020000022,0.36339278538812786
SKU0099,"BrandC Toothpaste","Personal Care",12968809.430000024,0.3612940639269402
SKU0041,"BrandE Biscuits",Snacks,10887379.869999947,0.3620884931506844
SKU0001,"BrandA Soda",Beverages,10515682.82999999,0.36284552160168687
SKU0005,"BrandE Soda",Beverages,9685683.360000014,0.36237707762557103
SKU0048,"BrandF Nuts",Snacks,8917389.910000015,0.3642248235782476
SKU0045,"BrandC Nuts",Snacks,8089038.530000008,0.3623269406392715
SKU0013,"BrandA Water",Beverages,7860958.870000017,0.36152611872145995
SKU0068,"BrandB Detergent","Home Care",6185731.580000015,0.3614659360730601
SKU0079,"BrandA Cleaner","Home Care",5929387.530000022,0.36318767123287743
SKU0054,"BrandF Yogurt",Dairy,5924877.809999993,0.36588685946220173
SKU0074,"BrandB Softener","Home Care",5683823.90000002,0.3602803652968034
SKU0032,"BrandB Chocolate",Snacks,5297295.149999964,0.3644954337899541
SKU0069,"BrandC Detergent","Home Care",5108828.069999997,0.36325688193085304
SKU0023,"BrandE Energy drink",Beverages,4371117.380000018,0.36467351598173686
SKU0036,"BrandF Chocolate",Snacks,4107238.500000028,0.36358255707762605
SKU0034,"BrandD Chocolate",Snacks,3316591.8800000115,0.36373634703196134
SKU0012,"BrandF Juice",Beverages,3192158.0400000107,0.362460606060608
SKU0102,"BrandF Toothpaste","Personal Care",3152954.9700000263,0.364201116184678
SKU0098,"BrandB Toothpaste","Personal Care",3127663.9100000015,0.36469821502698313
