sku_id,sku_name,total_net_sales
SKU0018,"BrandF Water",17032424.64000005
SKU0027,"BrandC Chips",16000295.020000022
SKU0026,"BrandB Chips",13025419.729999946
SKU0099,"BrandC Toothpaste",12968809.430000024
SKU0092,"BrandB Soap",12496995.900000015
SKU0100,"BrandD Toothpaste",12351150.679999948
SKU0064,"BrandD Cheese",12326993.999999983
SKU0061,"BrandA Cheese",11967260.40000001
SKU0028,"BrandD Chips",11749108.590000013
SKU0097,"BrandA Toothpaste",11594508.709999945
SKU0041,"BrandE Biscuits",10887379.869999947
SKU0038,"BrandB Biscuits",10826032.600000015
SKU0058,"BrandD Milk",10664140.199999984
SKU0001,"BrandA Soda",10515682.82999999
SKU0057,"BrandC Milk",10224239.219999965
SKU0005,"BrandE Soda",9685683.360000014
SKU0060,"BrandF Milk",9466848
SKU0048,"BrandF Nuts",8917389.910000015
SKU0002,"BrandB Soda",8625588.75
SKU0045,"BrandC Nuts",8089038.530000008
SKU0020,"BrandB Energy drink",8054215.439999982
SKU0013,"BrandA Water",7860958.870000017
SKU0094,"BrandD Soap",7443735.239999995
SKU0047,"BrandE Nuts",7434459.149999986
SKU0044,"BrandB Nuts",6741996.670000005
SKU0070,"BrandD Detergent",6709011.959999997
SKU0068,"BrandB Detergent",6185731.580000015
SKU0079,"BrandA Cleaner",5929387.530000022
SKU0054,"BrandF Yogurt",5924877.809999993
SKU0074,"BrandB Softener",5683823.90000002
SKU0032,"BrandB Chocolate",5297295.149999964
SKU0069,"BrandC Detergent",5108828.069999997
SKU0082,"BrandD Cleaner",4954897.92000001
SKU0076,"BrandD Softener",4742743.319999975
SKU0089,"BrandE Shampoo",4717345.710000029
SKU0023,"BrandE Energy drink",4371117.380000018
SKU0078,"BrandF Softener",4333780.400000016
SKU0007,"BrandA Juice",4294839.450000004
SKU0053,"BrandE Yogurt",4192545.4199999874
SKU0071,"BrandE Detergent",4192537.80000002
SKU0081,"BrandC Cleaner",4151625.150000022
SKU0036,"BrandF Chocolate",4107238.500000028
SKU0009,"BrandC Juice",3886656.0799999866
SKU0033,"BrandC Chocolate",3769137.830000007
SKU0034,"BrandD Chocolate",3316591.8800000115
SKU0049,"BrandA Yogurt",3310336.6399999955
SKU0012,"BrandF Juice",3192158.0400000107
SKU0102,"BrandF Toothpaste",3152954.9700000263
SKU0098,"BrandB Toothpaste",3127663.9100000015
SKU0080,"BrandB Cleaner",3074113.8499999875
SKU0010,"BrandD Juice",2993161.720000003
SKU0035,"BrandE Chocolate",2969636.1600000174
SKU0090,"BrandF Shampoo",2963734.9500000086
SKU0096,"BrandF Soap",2958329.000000001
SKU0087,"BrandC Shampoo",2954835.7300000023
SKU0052,"BrandD Yogurt",2931822.000000003
SKU0072,"BrandF Detergent",2914561.9599999846
SKU0031,"BrandA Chocolate",2861354.899999996
SKU0088,"BrandD Shampoo",2781288.909999987
SKU0046,"BrandD Nuts",2769564.709999993
SKU0024,"BrandF Energy drink",2730995.0400000103
SKU0095,"BrandE Soap",2591979.119999993
SKU0059,"BrandE Milk",2571728.25
SKU0016,"BrandD Water",2571159.029999967
SKU0066,"BrandF Cheese",2555968.4600000004
SKU0014,"BrandB Water",2550689.1999999927
SKU0025,"BrandA Chips",2504304.7499999967
SKU0093,"BrandC Soap",2388901.9999999963
SKU0039,"BrandC Biscuits",2319042.199999994
SKU0011,"BrandE Juice",2282149.379999996
SKU0063,"BrandC Cheese",2259692.879999996
SKU0043,"BrandA Nuts",2254584.2700000037
SKU0017,"BrandE Water",2225706.149999999
SKU0077,"BrandE Softener",2036615.0000000086
SKU0006,"BrandF Soda",2019134.8700000034
SKU0004,"BrandD Soda",1989095.8799999878
SKU0101,"BrandE Toothpaste",1935505.86000008
SKU0083,"BrandE Cleaner",1694471.1599999962
SKU0056,"BrandB Milk",1552009.4899999963
SKU0022,"BrandD Energy drink",1513665.560000008
SKU0084,"BrandF Cleaner",1510963.290000031
SKU0015,"BrandC Water",1435332.8700000013
SKU0040,"BrandD Biscuits",1430335.279999983
SKU0021,"BrandC Energy drink",1340325.3500000024
SKU0085,"BrandA Shampoo",1190417.3599999957
SKU0019,"BrandA Energy drink",1145233.009999987
SKU0037,"BrandA Biscuits",1095936.4799999995
SKU0086,"BrandB Shampoo",1059653.3500000064
SKU0067,"BrandA Detergent",1042152.8400000037
SKU0062,"BrandB Cheese",1018692.1999999977
SKU0008,"BrandB Juice",985203.1000000045
SKU0051,"BrandC Yogurt",983885.7599999944
SKU0091,"BrandA Soap",872478.8099999976
SKU0065,"BrandE Cheese",847938.8500000028
SKU0003,"BrandC Soda",802555.6800000027
SKU0055,"BrandA Milk",766537.8000000005
SKU0030,"BrandF Chips",694908.1200000008
SKU0075,"BrandC Softener",616174.519999995
SKU0029,"BrandE Chips",602289.4099999968
SKU0042,"BrandF Biscuits",479906.8300000007
SKU0073,"BrandA Softener",447233.73999999673
SKU0050,"BrandB Yogurt",255013.60000000236
