sku_id,sku_name,category,total_net_sales,total_units_sold,average_margin_pct
SKU0064,"BrandD Cheese",Dairy,12326993.999999983,990120,0.403098812785387
SKU0070,"BrandD Detergent","Home Care",6709011.959999997,1101644,0.4019808219178076
SKU0084,"BrandF Cleaner","Home Care",1510963.290000031,275221,0.4012669987546702
SKU0089,"BrandE Shampoo","Personal Care",4717345.710000029,442113,0.4012031050228291
SKU0018,"BrandF Water",Beverages,17032424.64000005,1173032,0.40116023246160365
SKU0057,"BrandC Milk",Dairy,10224239.219999965,729261,0.40097522831050164
SKU0053,"BrandE Yogurt",Dairy,4192545.4199999874,305802,0.40094764079147405
SKU0014,"BrandB Water",Beverages,2550689.1999999927,671234,0.40094401826484133
SKU0024,"BrandF Energy drink",Beverages,2730995.0400000103,509514,0.4009140410958902
SKU0062,"BrandB Cheese",Dairy,1018692.1999999977,186916,0.40079698630137
SKU0061,"BrandA Cheese",Dairy,11967260.40000001,972948,0.40079534246575377
SKU0081,"BrandC Cleaner","Home Care",4151625.150000022,675061,0.40077219685438903
SKU0087,"BrandC Shampoo","Personal Care",2954835.7300000023,361669,0.40074878234398914
SKU0060,"BrandF Milk",Dairy,9466848,701248,0.4007481942714827
SKU0008,"BrandB Juice",Beverages,985203.1000000045,277522,0.4007447488584481
SKU0093,"BrandC Soap","Personal Care",2388901.9999999963,518200,0.4006977168949777
SKU0071,"BrandE Detergent","Home Care",4192537.80000002,289740,0.40067174023338314
SKU0049,"BrandA Yogurt",Dairy,3310336.6399999955,397877,0.40066495433790017
SKU0021,"BrandC Energy drink",Beverages,1340325.3500000024,494585,0.40061969993476904
SKU0083,"BrandE Cleaner","Home Care",1694471.1599999962,749766,0.4006135844748855
