sku_id,sku_name,total_units,promotional_units,promotional_units_pct
SKU0016,"BrandD Water",288359,93622,32.47
SKU0063,"BrandC Cheese",576814,186417,32.32
SKU0010,"BrandD Juice",452933,146377,32.32
SKU0099,"BrandC Toothpaste",1242389,400889,32.27
SKU0077,"BrandE Softener",717472,230653,32.15
SKU0012,"BrandF Juice",669119,215016,32.13
SKU0065,"BrandE Cheese",821473,263977,32.13
SKU0031,"BrandA Chocolate",474919,152321,32.07
SKU0045,"BrandC Nuts",643216,206150,32.05
SKU0074,"BrandB Softener",637671,204274,32.03
SKU0102,"BrandF Toothpaste",1028846,329498,32.03
SKU0011,"BrandE Juice",253906,81301,32.02
SKU0032,"BrandB Chocolate",447781,143343,32.01
SKU0068,"BrandB Detergent",464986,148780,32.00
SKU0091,"BrandA Soap",161607,51713,32.00
SKU0086,"BrandB Shampoo",107593,34398,31.97
SKU0005,"BrandE Soda",1096500,350320,31.95
SKU0080,"BrandB Cleaner",756506,241518,31.93
SKU0101,"BrandE Toothpaste",206503,65906,31.92
SKU0069,"BrandC Detergent",658353,209954,31.89
