store_id,country,city,total_units_sold,total_net_sales
STORE0004,Germany,Berlin,6057129,46585753.18000008
STORE0008,Austria,Vienna,5742174,43020025.96999966
STORE0006,France,Paris,6014974,42601612.57000052
STORE0005,Poland,Warsaw,5860180,42385262.51999988
STORE0011,Italy,Rome,5985522,42205660.629999794
STORE0001,Germany,Berlin,5681442,41939805.82999975
STORE0012,Spain,Madrid,5243338,38965417.7700005
STORE0009,Spain,Barcelona,5297695,37766116.11999928
STORE0010,Italy,Milan,5106947,36002989.23000081
STORE0002,Italy,Rome,4249838,30231862.000000022
STORE0007,Spain,Barcelona,4126984,29973233.150000375
STORE0003,Italy,Milan,4019467,28752564.260000087
STORE0013,Netherlands,Amsterdam,1730292,12516149.60000013
